                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5376,                   1.34,                 1.4187,                0.62722,                0.65516,                0.66547,                0.38377,                 1.5752,                 1.2526,                 1.4735,              0.0010747,              0.0010747,              0.0010747
                     35,                 1.5921,                 1.2912,                 1.3824,                0.68958,                 0.6311,                 0.7005,                0.38939,                 1.5665,                 1.2397,                 1.4303,              0.0010736,              0.0010736,              0.0010736
                     36,                 1.5638,                 1.3637,                 1.4195,                0.78128,                0.66697,                0.75296,                0.38353,                 1.7628,                 1.2413,                 1.4722,              0.0010725,              0.0010725,              0.0010725
                     37,                 1.6134,                 1.2745,                 1.3689,                0.83525,                0.67071,                0.75137,                 0.3836,                 1.7826,                  1.152,                 1.4962,              0.0010714,              0.0010714,              0.0010714
                     38,                 1.6203,                 1.3148,                 1.4181,                0.81086,                0.61478,                  0.738,                0.40179,                 1.6157,                  1.374,                   1.45,              0.0010703,              0.0010703,              0.0010703
                     39,                 1.5626,                 1.2648,                 1.3993,                0.82745,                0.56553,                0.69518,                0.36887,                 1.5202,                 1.4109,                 1.4051,              0.0010692,              0.0010692,              0.0010692
                     40,                 1.5224,                 1.2361,                 1.3791,                0.79695,                0.62427,                0.75507,                0.41768,                 1.5838,                 1.2582,                 1.3621,              0.0010681,              0.0010681,              0.0010681
                     41,                 1.4789,                 1.1686,                 1.3551,                0.76752,                0.70983,                 0.7604,                 0.4029,                 1.5533,                 1.2719,                 1.3558,               0.001067,               0.001067,               0.001067
                     42,                 1.5595,                 1.2261,                  1.399,                 0.8223,                0.72162,                0.77873,                0.42957,                 1.6768,                 1.1563,                 1.3916,              0.0010659,              0.0010659,              0.0010659
                     43,                 1.5125,                 1.1752,                 1.3321,                0.81023,                0.73925,                0.80076,                0.45311,                 1.4466,                 1.1999,                 1.3033,              0.0010648,              0.0010648,              0.0010648
                     44,                  1.496,                 1.1455,                 1.3274,                0.67163,                0.71856,                0.77689,                0.44715,                 1.4405,                 1.1046,                 1.3155,              0.0010637,              0.0010637,              0.0010637
