                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7053,                 1.6417,                 1.5057,                0.72552,                0.54597,                0.65878,                0.32929,                 1.6614,                 1.3621,                 1.4894,              0.0010747,              0.0010747,              0.0010747
                     35,                 1.7296,                 1.5154,                 1.4582,                0.69876,                0.46067,                0.61313,                0.32246,                 1.6684,                 1.5557,                 1.4859,              0.0010736,              0.0010736,              0.0010736
                     36,                 1.7073,                 1.6331,                 1.5055,                0.72245,                0.62742,                0.69196,                0.34749,                 1.6593,                 1.5309,                 1.4721,              0.0010725,              0.0010725,              0.0010725
                     37,                  1.646,                 1.5096,                 1.4394,                 0.7556,                0.52223,                0.66659,                0.35636,                 1.5653,                 1.1838,                 1.4043,              0.0010714,              0.0010714,              0.0010714
                     38,                 1.6541,                 1.5095,                 1.4468,                0.70222,                0.63499,                0.72378,                0.38522,                 1.6402,                 1.3182,                 1.4382,              0.0010703,              0.0010703,              0.0010703
                     39,                 1.6994,                 1.4885,                   1.47,                0.73262,                 0.4978,                 0.6263,                0.33815,                 1.5612,                 1.5635,                 1.4112,              0.0010692,              0.0010692,              0.0010692
                     40,                 1.6257,                 1.4941,                 1.4499,                0.78331,                 0.6075,                0.72589,                0.37245,                 1.6509,                 1.3473,                 1.4622,              0.0010681,              0.0010681,              0.0010681
                     41,                 1.6053,                 1.4127,                 1.4327,                0.89276,                0.55662,                0.65352,                0.35389,                 1.6652,                 1.3854,                 1.4384,               0.001067,               0.001067,               0.001067
                     42,                 1.6466,                 1.4449,                 1.4563,                0.80509,                0.63043,                0.67703,                0.34901,                 1.6179,                 1.3073,                 1.4427,              0.0010659,              0.0010659,              0.0010659
                     43,                 1.6577,                 1.3963,                 1.4233,                0.72504,                0.66879,                0.74683,                0.35817,                 1.6882,                 1.3483,                 1.4571,              0.0010648,              0.0010648,              0.0010648
                     44,                  1.589,                 1.3986,                 1.4075,                 0.6451,                   0.73,                0.71027,                0.37485,                 1.5521,                 1.1832,                  1.374,              0.0010637,              0.0010637,              0.0010637
                     45,                 1.6321,                 1.3948,                  1.462,                0.88176,                0.52888,                0.67787,                0.34819,                 1.6097,                 1.2748,                  1.433,              0.0010626,              0.0010626,              0.0010626
                     46,                 1.5902,                 1.3498,                 1.3658,                0.67625,                0.67059,                0.70898,                0.38956,                   1.59,                 1.1333,                 1.3815,              0.0010615,              0.0010615,              0.0010615
                     47,                 1.5906,                  1.388,                 1.3842,                0.82813,                0.62083,                0.72229,                0.38113,                 1.6061,                 1.2963,                 1.3868,              0.0010604,              0.0010604,              0.0010604
                     48,                 1.5913,                 1.3434,                 1.3989,                0.69938,                0.65429,                0.69045,                0.37453,                 1.6232,                 1.2682,                 1.4005,              0.0010593,              0.0010593,              0.0010593
                     49,                  1.569,                 1.3335,                 1.4041,                0.83514,                0.59623,                0.70194,                  0.353,                 1.6125,                 1.3044,                  1.379,              0.0010582,              0.0010582,              0.0010582
                     50,                 1.5175,                 1.2376,                 1.3599,                0.83773,                0.65065,                0.74568,                0.39143,                 1.5726,                 1.2241,                 1.3705,              0.0010571,              0.0010571,              0.0010571
                     51,                 1.5622,                 1.3607,                 1.4037,                0.72791,                0.65203,                0.72311,                0.40682,                 1.5389,                 1.2982,                 1.3276,               0.001056,               0.001056,               0.001056
                     52,                 1.5237,                 1.2704,                 1.3544,                0.81565,                  0.642,                 0.7333,                0.41968,                 1.5041,                 1.3882,                 1.3562,              0.0010549,              0.0010549,              0.0010549
                     53,                 1.5106,                 1.2433,                 1.3628,                0.77102,                0.63754,                0.68953,                0.39908,                 1.5383,                  1.436,                 1.3737,              0.0010538,              0.0010538,              0.0010538
                     54,                 1.4695,                 1.1813,                 1.3136,                0.75911,                0.66666,                0.73606,                0.43295,                 1.5002,                 1.0799,                 1.3086,              0.0010527,              0.0010527,              0.0010527
                     55,                 1.4582,                 1.1688,                 1.2871,                0.82297,                0.66076,                0.75624,                0.38527,                 1.6367,                 1.3624,                 1.3988,              0.0010516,              0.0010516,              0.0010516
                     56,                 1.5141,                 1.2352,                 1.3289,                0.78669,                0.67384,                0.76893,                 0.3906,                   1.55,                 1.2067,                 1.3351,              0.0010505,              0.0010505,              0.0010505
                     57,                 1.4869,                 1.2439,                 1.3202,                0.85182,                0.70369,                0.80168,                0.43218,                 1.5158,                 1.3028,                 1.3236,              0.0010494,              0.0010494,              0.0010494
                     58,                 1.4494,                 1.2029,                 1.2831,                0.80293,                0.75156,                0.80321,                0.42824,                 1.5463,                  1.124,                 1.3258,              0.0010483,              0.0010483,              0.0010483
                     59,                 1.4901,                 1.2208,                 1.3096,                0.82489,                0.69069,                0.79992,                0.43453,                 1.6417,                 1.1513,                 1.3534,              0.0010472,              0.0010472,              0.0010472
                     60,                  1.501,                 1.2407,                 1.3591,                0.88261,                0.62325,                0.78823,                0.44896,                 1.4269,                 1.1967,                 1.2766,              0.0010461,              0.0010461,              0.0010461
                     61,                 1.4916,                 1.1309,                 1.2981,                0.74966,                0.74615,                0.79472,                0.43435,                 1.4086,                 1.1258,                 1.2562,               0.001045,               0.001045,               0.001045
                     62,                 1.4903,                 1.2037,                 1.3315,                0.78847,                0.64494,                0.74893,                0.40905,                 1.4875,                 1.2783,                 1.2862,              0.0010439,              0.0010439,              0.0010439
                     63,                 1.4186,                 1.1186,                 1.3166,                0.85184,                0.66709,                0.77864,                0.40198,                 1.6005,                 1.1483,                 1.3874,              0.0010428,              0.0010428,              0.0010428
                     64,                 1.4427,                 1.1276,                 1.2896,                0.76402,                0.72182,                0.80376,                0.45736,                 1.4564,                 1.1253,                 1.2842,              0.0010417,              0.0010417,              0.0010417
                     65,                 1.4575,                 1.1174,                 1.3008,                0.81233,                 0.6703,                0.77272,                0.41997,                 1.5514,                  1.196,                 1.3102,              0.0010406,              0.0010406,              0.0010406
                     66,                 1.4926,                 1.1872,                 1.3103,                0.90413,                0.69979,                0.80915,                0.45193,                 1.4847,                 1.0751,                 1.3118,              0.0010395,              0.0010395,              0.0010395
                     67,                 1.4307,                 1.1557,                 1.2961,                0.83377,                0.68415,                0.76532,                0.43724,                 1.4305,                0.98752,                 1.2743,              0.0010384,              0.0010384,              0.0010384
                     68,                 1.3408,                  1.043,                 1.2158,                0.78704,                0.77064,                0.79397,                0.46315,                 1.2695,                 0.9659,                 1.2468,              0.0010373,              0.0010373,              0.0010373
                     69,                 1.3683,                 1.0998,                 1.2613,                0.82319,                0.66612,                0.74887,                0.45038,                 1.4189,                 1.2262,                 1.2452,              0.0010362,              0.0010362,              0.0010362
                     70,                 1.4059,                 1.0899,                 1.2546,                0.87426,                0.70821,                0.77798,                0.45085,                 1.4405,                 1.0425,                 1.2733,              0.0010351,              0.0010351,              0.0010351
                     71,                   1.46,                 1.0996,                 1.3264,                0.63861,                0.66995,                 0.7614,                0.45301,                 1.4086,                 1.6214,                 1.2434,               0.001034,               0.001034,               0.001034
                     72,                 1.3791,                  1.098,                 1.2509,                0.80735,                0.66522,                0.76789,                0.45984,                 1.3269,                 1.0972,                  1.207,              0.0010329,              0.0010329,              0.0010329
                     73,                 1.4235,                 1.1162,                 1.2844,                0.79474,                0.80949,                0.82142,                0.45217,                 1.4901,                 1.0797,                 1.3137,              0.0010318,              0.0010318,              0.0010318
                     74,                 1.3928,                 1.0745,                 1.2475,                0.89728,                0.70806,                0.82216,                0.48631,                 1.4085,                 1.0616,                 1.2094,              0.0010307,              0.0010307,              0.0010307
                     75,                 1.3868,                  1.065,                  1.273,                 0.8569,                0.69265,                0.78008,                0.46075,                 1.4269,                 1.0888,                 1.2385,              0.0010296,              0.0010296,              0.0010296
                     76,                 1.3674,                 1.0473,                 1.2124,                0.78917,                0.74083,                0.83762,                0.44269,                 1.5707,                 1.1109,                 1.3235,              0.0010285,              0.0010285,              0.0010285
                     77,                  1.375,                 1.0611,                 1.2605,                0.88097,                0.76524,                0.84668,                0.45377,                 1.5129,                 1.0608,                 1.2727,              0.0010274,              0.0010274,              0.0010274
                     78,                 1.3543,                 1.0318,                 1.2022,                0.79382,                0.74367,                0.79675,                0.47492,                 1.4351,                 1.0564,                 1.2878,              0.0010263,              0.0010263,              0.0010263
                     79,                 1.3633,                 1.0134,                 1.2028,                0.79405,                0.77795,                0.78225,                0.42856,                 1.5025,                 1.0495,                 1.2638,              0.0010252,              0.0010252,              0.0010252
                     80,                 1.3969,                 1.0774,                 1.2278,                0.87415,                0.67061,                0.80876,                0.48614,                 1.3817,                 1.0212,                 1.2287,              0.0010241,              0.0010241,              0.0010241
                     81,                 1.3084,                 1.0117,                 1.2162,                0.78037,                0.79115,                 0.8173,                0.47704,                 1.3938,                 1.0194,                 1.1948,               0.001023,               0.001023,               0.001023
                     82,                 1.4441,                 1.0845,                  1.308,                0.86776,                0.78576,                0.81133,                0.49052,                 1.3336,                 1.0103,                 1.2052,              0.0010219,              0.0010219,              0.0010219
                     83,                 1.3183,                0.99495,                 1.2409,                0.78099,                0.74768,                0.78492,                0.46179,                  1.393,                 1.0282,                 1.2532,              0.0010208,              0.0010208,              0.0010208
                     84,                 1.3126,                0.98029,                 1.2109,                0.96341,                0.71779,                0.80328,                0.47296,                 1.4346,                 1.0227,                 1.2599,              0.0010197,              0.0010197,              0.0010197
                     85,                 1.2917,                0.97733,                 1.2081,                0.85706,                0.71097,                 0.7762,                 0.4318,                 1.4785,                 1.0299,                 1.2949,              0.0010186,              0.0010186,              0.0010186
                     86,                 1.3193,                0.95746,                 1.2056,                0.76288,                0.74336,                 0.8002,                 0.4705,                 1.4138,                 1.0632,                 1.2343,              0.0010175,              0.0010175,              0.0010175
                     87,                 1.2751,                0.91368,                 1.1997,                0.79533,                0.76045,                0.80965,                0.45641,                  1.367,                 1.0277,                 1.2307,              0.0010164,              0.0010164,              0.0010164
                     88,                 1.3181,                0.97033,                  1.228,                0.81017,                0.74024,                0.79461,                0.44514,                 1.5251,                 1.0728,                 1.2911,              0.0010153,              0.0010153,              0.0010153
                     89,                 1.3019,                0.97911,                 1.2363,                0.79467,                 0.7153,                0.80413,                0.45741,                 1.4815,                  1.047,                  1.249,              0.0010142,              0.0010142,              0.0010142
                     90,                 1.3113,                 1.0142,                  1.206,                0.85665,                0.75923,                0.81804,                0.45924,                 1.5845,                 1.0736,                 1.3657,              0.0010131,              0.0010131,              0.0010131
                     91,                 1.3219,                 1.0064,                 1.2447,                0.90705,                0.68187,                0.81906,                0.48043,                 1.3522,                0.99173,                 1.2378,               0.001012,               0.001012,               0.001012
                     92,                 1.2761,                0.96809,                 1.2041,                0.82465,                0.80295,                0.82307,                0.49106,                 1.4316,                 1.0124,                 1.2354,              0.0010109,              0.0010109,              0.0010109
                     93,                  1.266,                0.95539,                 1.1978,                0.87256,                0.73642,                0.81287,                0.50483,                 1.3204,                0.93137,                 1.2156,              0.0010098,              0.0010098,              0.0010098
                     94,                 1.3467,                0.97513,                 1.2447,                0.79327,                0.78658,                0.82375,                0.49617,                 1.3643,                 1.0438,                 1.1946,              0.0010087,              0.0010087,              0.0010087
                     95,                 1.2831,                 0.9174,                 1.1963,                0.90708,                0.75085,                0.85039,                0.50974,                 1.3098,                0.97815,                 1.2125,              0.0010076,              0.0010076,              0.0010076
                     96,                  1.248,                0.92205,                 1.1875,                0.86902,                 0.7239,                0.84423,                0.47791,                 1.4142,                0.93846,                  1.217,              0.0010065,              0.0010065,              0.0010065
                     97,                 1.2778,                0.89892,                 1.1877,                0.87562,                0.80475,                0.86614,                0.49965,                 1.4154,                0.81688,                 1.2077,              0.0010054,              0.0010054,              0.0010054
                     98,                 1.3333,                0.89861,                 1.1819,                0.91448,                0.73068,                0.83111,                0.49167,                  1.374,                0.84253,                 1.2189,              0.0010043,              0.0010043,              0.0010043
                     99,                 1.2664,                0.96026,                 1.1933,                0.88577,                0.77207,                0.85712,                 0.4817,                 1.4416,                0.87593,                 1.2481,              0.0010032,              0.0010032,              0.0010032
                    100,                 1.2535,                0.91943,                 1.1987,                0.90301,                0.77318,                0.84006,                 0.4945,                 1.3008,                0.84534,                 1.1841,              0.0010021,              0.0010021,              0.0010021
                    101,                 1.2056,                0.86485,                 1.1637,                0.85907,                0.81056,                0.84752,                0.51102,                 1.2784,                0.90335,                 1.1664,               0.001001,               0.001001,               0.001001
                    102,                 1.3064,                 1.0135,                 1.1841,                0.81229,                0.72061,                0.80638,                0.45397,                 1.4475,                 1.0118,                 1.2894,             0.00099991,             0.00099991,             0.00099991
                    103,                 1.3044,                0.92633,                  1.206,                0.84817,                0.66988,                0.81726,                0.45481,                 1.4408,                0.97227,                 1.2468,             0.00099881,             0.00099881,             0.00099881
                    104,                 1.2376,                0.89095,                 1.1716,                 0.8596,                0.71092,                0.81766,                0.48731,                 1.3045,                0.89336,                 1.1583,             0.00099771,             0.00099771,             0.00099771
                    105,                 1.2515,                0.91957,                 1.2372,                0.90039,                0.66646,                0.79153,                0.45549,                  1.292,                 1.0947,                 1.1853,             0.00099661,             0.00099661,             0.00099661
                    106,                 1.2821,                0.89073,                 1.1794,                0.80586,                0.78395,                0.82434,                 0.5023,                 1.3413,                 1.0171,                 1.1699,             0.00099551,             0.00099551,             0.00099551
                    107,                 1.2349,                0.85601,                 1.1679,                0.90969,                0.70931,                0.82691,                0.51011,                 1.3325,                0.96067,                 1.1908,             0.00099441,             0.00099441,             0.00099441
                    108,                 1.2376,                0.87201,                 1.1813,                0.88323,                0.77328,                0.84399,                0.51143,                 1.3178,                0.84814,                 1.1878,             0.00099331,             0.00099331,             0.00099331
                    109,                 1.2081,                0.83759,                 1.1446,                 0.8149,                0.76923,                0.80585,                0.49486,                 1.2485,                0.78012,                 1.1652,             0.00099221,             0.00099221,             0.00099221
                    110,                 1.2085,                0.82184,                 1.1451,                0.85708,                 0.7219,                0.80137,                0.47791,                 1.4002,                 0.9897,                  1.211,             0.00099111,             0.00099111,             0.00099111
