                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5257,                 1.2925,                 1.3709,                0.74558,                0.60326,                 0.6852,                0.39089,                 1.5548,                 1.3582,                 1.5191,              0.0010929,              0.0010929,              0.0010929
                     35,                 1.4836,                 1.2425,                 1.3357,                0.53196,                0.70182,                0.68661,                0.39302,                 1.5171,                 1.3858,                  1.521,              0.0010923,              0.0010923,              0.0010923
                     36,                 1.4863,                 1.2276,                 1.3635,                0.63101,                0.52009,                 0.5976,                0.30472,                  1.716,                 1.7341,                 1.6155,              0.0010918,              0.0010918,              0.0010918
                     37,                 1.5024,                  1.237,                  1.343,                0.56287,                0.60412,                0.58763,                0.28781,                 1.8327,                 1.7474,                   1.65,              0.0010912,              0.0010912,              0.0010912
                     38,                 1.4582,                 1.2034,                 1.3651,                0.81774,                0.46942,                0.64666,                0.33095,                 1.6864,                 1.6131,                 1.6194,              0.0010907,              0.0010907,              0.0010907
                     39,                 1.4603,                 1.1102,                 1.3049,                0.84857,                0.61888,                0.69648,                0.35503,                 1.6147,                 1.7477,                 1.5369,              0.0010901,              0.0010901,              0.0010901
                     40,                  1.384,                  1.109,                 1.3107,                0.71943,                0.65436,                0.73623,                0.40191,                 1.6359,                 1.3465,                 1.5403,              0.0010896,              0.0010896,              0.0010896
                     41,                 1.4994,                 1.1647,                 1.3357,                0.77323,                0.63222,                0.71477,                0.40056,                 1.5486,                 1.3343,                 1.5573,               0.001089,               0.001089,               0.001089
                     42,                 1.4864,                 1.1227,                  1.322,                 0.7533,                0.66343,                 0.7236,                0.38091,                 1.7028,                 1.3042,                 1.5792,              0.0010885,              0.0010885,              0.0010885
                     43,                 1.3843,                 1.0544,                 1.2531,                0.82211,                0.71326,                0.78137,                0.43768,                 1.5626,                 1.2314,                  1.485,              0.0010879,              0.0010879,              0.0010879
                     44,                 1.4009,                 1.0758,                 1.3114,                0.85035,                0.65074,                 0.7488,                0.36855,                 1.6694,                 1.2155,                 1.5764,              0.0010874,              0.0010874,              0.0010874
                     45,                 1.4749,                 1.0947,                 1.3207,                0.72881,                 0.7046,                0.77472,                0.42107,                 1.5665,                 1.4665,                 1.4985,              0.0010868,              0.0010868,              0.0010868
                     46,                 1.3915,                 1.0644,                 1.2976,                0.71293,                0.61407,                0.69668,                0.37755,                  1.495,                 1.4351,                 1.4748,              0.0010863,              0.0010863,              0.0010863
                     47,                 1.3659,                 0.9894,                 1.2472,                0.75116,                0.79041,                0.74685,                0.38493,                  1.508,                 1.2265,                 1.4882,              0.0010857,              0.0010857,              0.0010857
                     48,                 1.3762,                 1.0401,                 1.2701,                0.68226,                0.60204,                0.70299,                0.40118,                 1.5967,                 1.3457,                  1.557,              0.0010852,              0.0010852,              0.0010852
                     49,                 1.3825,                 1.0579,                  1.249,                0.87311,                0.59822,                 0.7717,                0.42364,                 1.5528,                 1.5884,                 1.5008,              0.0010846,              0.0010846,              0.0010846
                     50,                 1.3967,                 1.0049,                 1.2238,                0.72527,                0.79227,                 0.7694,                0.42188,                 1.5304,                 1.2196,                 1.5232,              0.0010841,              0.0010841,              0.0010841
                     51,                 1.3742,                 1.0139,                 1.2836,                0.87369,                0.70257,                 0.8046,                0.44031,                 1.4652,                 1.2016,                 1.4443,              0.0010835,              0.0010835,              0.0010835
                     52,                 1.3215,                0.97722,                 1.2366,                0.81589,                0.71309,                0.79464,                0.45017,                 1.4873,                 1.0911,                 1.4614,               0.001083,               0.001083,               0.001083
                     53,                 1.3352,                0.94244,                 1.1955,                0.89226,                0.75193,                0.83529,                0.48724,                 1.3722,                 1.0241,                 1.3831,              0.0010824,              0.0010824,              0.0010824
                     54,                 1.3683,                0.94104,                 1.2807,                0.82874,                0.78339,                0.83322,                0.47921,                 1.3581,                 1.1312,                 1.3501,              0.0010819,              0.0010819,              0.0010819
                     55,                 1.2883,                0.92277,                 1.1835,                0.81772,                 0.8142,                0.83603,                0.49042,                 1.4218,                0.98637,                 1.4089,              0.0010813,              0.0010813,              0.0010813
                     56,                 1.3221,                0.93907,                 1.2408,                0.87823,                0.80697,                0.83621,                0.50326,                   1.37,                 1.0235,                 1.3648,              0.0010808,              0.0010808,              0.0010808
                     57,                  1.286,                0.89278,                  1.206,                 0.8176,                0.78753,                0.82623,                0.49268,                 1.3891,                 1.0872,                 1.4086,              0.0010802,              0.0010802,              0.0010802
                     58,                 1.2762,                0.93512,                 1.2107,                0.83681,                0.74824,                0.85143,                0.52683,                 1.2785,                 1.0144,                 1.3603,              0.0010797,              0.0010797,              0.0010797
                     59,                 1.2749,                0.88743,                 1.1939,                0.88996,                0.72835,                0.81994,                0.50064,                 1.3123,                 1.1095,                 1.3647,              0.0010791,              0.0010791,              0.0010791
                     60,                 1.2582,                0.88742,                 1.2262,                0.86805,                0.76418,                0.83964,                 0.5223,                 1.3515,                  1.003,                 1.3337,              0.0010786,              0.0010786,              0.0010786
                     61,                 1.2076,                0.87837,                 1.1632,                 0.8139,                0.70477,                0.79668,                0.47184,                 1.4038,                  1.033,                 1.3563,               0.001078,               0.001078,               0.001078
                     62,                 1.2095,                 0.8505,                 1.1753,                0.82801,                0.88048,                0.86876,                 0.5232,                 1.3615,                0.87178,                 1.3261,              0.0010775,              0.0010775,              0.0010775
                     63,                 1.2509,                0.84391,                   1.16,                0.87203,                0.85604,                0.86633,                0.51706,                 1.4659,                0.91683,                 1.3668,              0.0010769,              0.0010769,              0.0010769
                     64,                 1.2248,                0.91997,                 1.1896,                0.91267,                0.80696,                0.85624,                0.51314,                  1.373,                0.98531,                 1.3742,              0.0010764,              0.0010764,              0.0010764
                     65,                 1.2509,                0.88138,                 1.2062,                0.82926,                 0.8397,                0.88061,                0.53959,                  1.285,                0.88621,                 1.2803,              0.0010758,              0.0010758,              0.0010758
                     66,                 1.2242,                0.82787,                 1.1885,                0.87191,                0.76889,                0.85291,                0.52952,                 1.3503,                0.88687,                 1.3535,              0.0010753,              0.0010753,              0.0010753
