                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5427,                 1.3016,                 1.4025,                0.62581,                0.63835,                0.73498,                0.37864,                 1.6236,                 1.3814,                 1.4506,              0.0010747,              0.0010747,              0.0010747
                     35,                 1.5547,                 1.2201,                 1.3373,                0.76112,                0.68465,                 0.7318,                0.37048,                 1.5998,                 1.1415,                  1.385,              0.0010736,              0.0010736,              0.0010736
                     36,                 1.6569,                 1.3462,                  1.422,                 0.7836,                0.68711,                0.77537,                0.40875,                 1.5915,                 1.1896,                 1.4098,              0.0010725,              0.0010725,              0.0010725
                     37,                 1.5115,                 1.1734,                  1.318,                0.86717,                 0.6396,                0.75272,                0.41367,                 1.5848,                 1.2229,                 1.4238,              0.0010714,              0.0010714,              0.0010714
                     38,                   1.48,                 1.2072,                 1.3435,                 0.8702,                0.70243,                0.80387,                0.41774,                 1.5691,                  1.147,                 1.3864,              0.0010703,              0.0010703,              0.0010703
                     39,                 1.4319,                 1.1836,                 1.3269,                0.84771,                0.66434,                 0.7711,                0.43378,                 1.5637,                 1.0454,                 1.3681,              0.0010692,              0.0010692,              0.0010692
                     40,                 1.3958,                 1.1504,                 1.2987,                0.84295,                0.57201,                0.72426,                0.39152,                 1.5886,                 1.2474,                 1.3996,              0.0010681,              0.0010681,              0.0010681
                     41,                 1.4587,                 1.1542,                  1.343,                0.83234,                0.75894,                0.78005,                0.42764,                 1.4017,                 1.2028,                 1.3119,               0.001067,               0.001067,               0.001067
                     42,                  1.487,                 1.1317,                 1.3348,                0.74836,                0.77016,                0.79645,                0.44775,                 1.4085,                 1.0578,                 1.2834,              0.0010659,              0.0010659,              0.0010659
                     43,                 1.4072,                 1.0527,                 1.2858,                0.85298,                0.73608,                0.81365,                0.48964,                 1.3587,                 1.2627,                 1.2705,              0.0010648,              0.0010648,              0.0010648
                     44,                 1.4163,                 1.1023,                 1.2642,                0.88971,                0.66103,                0.78613,                0.44416,                 1.5025,                 1.1096,                 1.3305,              0.0010637,              0.0010637,              0.0010637
                     45,                 1.4178,                  1.131,                 1.3351,                0.79329,                0.76051,                0.79812,                0.46411,                 1.5019,                  1.114,                 1.3515,              0.0010626,              0.0010626,              0.0010626
                     46,                 1.3885,                0.99896,                 1.2484,                0.82393,                0.71409,                 0.7984,                 0.4159,                 1.5478,                 1.0362,                 1.3598,              0.0010615,              0.0010615,              0.0010615
                     47,                 1.4005,                 1.1134,                 1.2745,                0.74628,                0.71208,                0.75141,                 0.4148,                 1.6726,                 1.1968,                 1.4105,              0.0010604,              0.0010604,              0.0010604
                     48,                 1.4143,                 1.0702,                  1.281,                0.79359,                0.65615,                0.73528,                0.41323,                 1.4894,                 1.2952,                   1.31,              0.0010593,              0.0010593,              0.0010593
                     49,                 1.3743,                 1.0787,                 1.2997,                0.73708,                0.72965,                 0.7935,                0.45803,                 1.4016,                 1.0912,                 1.2808,              0.0010582,              0.0010582,              0.0010582
                     50,                 1.2796,                 0.9639,                 1.2227,                 0.7065,                 0.6957,                0.75143,                 0.4543,                 1.4009,                 1.2992,                 1.2935,              0.0010571,              0.0010571,              0.0010571
                     51,                 1.3729,                 1.0553,                   1.28,                0.83982,                0.64881,                0.75909,                0.43142,                 1.4999,                 1.0408,                 1.3359,               0.001056,               0.001056,               0.001056
                     52,                 1.3603,                 1.0171,                 1.2509,                0.87274,                0.75067,                0.79463,                0.45868,                 1.3652,                 1.1919,                 1.2597,              0.0010549,              0.0010549,              0.0010549
                     53,                 1.3133,                  1.004,                 1.2482,                0.78832,                0.62857,                0.79058,                0.47167,                 1.3177,                 1.3679,                 1.2322,              0.0010538,              0.0010538,              0.0010538
                     54,                 1.3075,                0.95269,                 1.1901,                0.81759,                 0.7883,                 0.8287,                0.50591,                 1.4362,                 0.9981,                 1.2623,              0.0010527,              0.0010527,              0.0010527
                     55,                 1.2984,                0.93893,                 1.1856,                0.83883,                0.77196,                0.82914,                0.48568,                  1.362,                 1.0304,                 1.2205,              0.0010516,              0.0010516,              0.0010516
                     56,                 1.2475,                 1.0099,                 1.2148,                0.83058,                0.67685,                0.75833,                0.43782,                 1.4817,                 1.4489,                 1.2975,              0.0010505,              0.0010505,              0.0010505
                     57,                 1.3304,                0.97779,                 1.2205,                0.88988,                0.73317,                0.84582,                0.47696,                 1.4704,                  1.166,                 1.3269,              0.0010494,              0.0010494,              0.0010494
                     58,                 1.2678,                0.94888,                 1.1903,                0.85162,                0.80674,                0.83231,                0.46404,                 1.4161,                 1.0899,                 1.2411,              0.0010483,              0.0010483,              0.0010483
                     59,                 1.3096,                0.95498,                 1.2027,                0.88963,                0.79726,                0.85477,                0.49935,                 1.3613,                0.95596,                 1.2541,              0.0010472,              0.0010472,              0.0010472
                     60,                 1.3011,                0.97434,                 1.2348,                0.89318,                0.72414,                0.82767,                0.48034,                 1.4017,                  1.009,                 1.2792,              0.0010461,              0.0010461,              0.0010461
                     61,                 1.2952,                0.90853,                 1.2036,                0.84727,                0.82841,                0.86461,                0.52507,                 1.3334,                0.92938,                 1.2209,               0.001045,               0.001045,               0.001045
                     62,                  1.303,                0.94856,                 1.2314,                0.86443,                0.82455,                0.84894,                0.52755,                 1.1968,                0.87046,                 1.1554,              0.0010439,              0.0010439,              0.0010439
                     63,                 1.2705,                0.86666,                 1.2086,                0.92685,                0.78166,                0.84643,                0.49966,                 1.4387,                0.90395,                 1.2211,              0.0010428,              0.0010428,              0.0010428
                     64,                 1.2091,                0.85437,                 1.1722,                0.93135,                0.76867,                0.84753,                0.51421,                  1.304,                0.86738,                 1.1933,              0.0010417,              0.0010417,              0.0010417
                     65,                 1.3081,                0.87201,                 1.1985,                0.95475,                0.76524,                0.85995,                0.52231,                 1.3606,                0.85886,                 1.2161,              0.0010406,              0.0010406,              0.0010406
                     66,                 1.2485,                0.87225,                  1.171,                0.83602,                0.88508,                0.85764,                0.47288,                 1.4362,                0.99158,                   1.26,              0.0010395,              0.0010395,              0.0010395
                     67,                 1.2817,                0.88627,                 1.1915,                0.80665,                0.76865,                0.81889,                0.48667,                 1.2927,                0.96155,                 1.1909,              0.0010384,              0.0010384,              0.0010384
                     68,                 1.2149,                0.80444,                 1.1339,                0.91674,                0.72251,                0.81021,                0.49548,                   1.29,                0.83085,                 1.2043,              0.0010373,              0.0010373,              0.0010373
                     69,                 1.1711,                0.83895,                 1.1357,                0.88167,                0.81379,                0.85353,                0.54266,                  1.208,                0.82779,                 1.1584,              0.0010362,              0.0010362,              0.0010362
                     70,                 1.1632,                0.78269,                 1.1285,                0.88775,                0.77303,                0.82675,                0.50386,                 1.2532,                0.83862,                 1.1778,              0.0010351,              0.0010351,              0.0010351
                     71,                 1.1794,                0.80972,                 1.1682,                0.88985,                0.79192,                0.86098,                0.54109,                 1.2764,                0.77405,                 1.1439,               0.001034,               0.001034,               0.001034
                     72,                 1.1974,                0.81853,                 1.1276,                0.83345,                0.81342,                0.86679,                0.48601,                 1.4238,                0.87312,                 1.1813,              0.0010329,              0.0010329,              0.0010329
                     73,                 1.2136,                0.83488,                 1.1557,                0.81188,                0.76342,                0.83559,                 0.5366,                 1.3014,                0.81584,                 1.1775,              0.0010318,              0.0010318,              0.0010318
                     74,                 1.1599,                 0.7852,                 1.1332,                0.84978,                0.82279,                0.85677,                0.52935,                  1.308,                0.80681,                 1.1692,              0.0010307,              0.0010307,              0.0010307
                     75,                 1.2023,                0.84017,                 1.1484,                0.91442,                0.73424,                0.85267,                0.55331,                  1.254,                0.82776,                 1.1756,              0.0010296,              0.0010296,              0.0010296
                     76,                 1.1689,                0.75344,                 1.1179,                0.89787,                0.83363,                0.87077,                0.55557,                 1.2591,                 0.8132,                 1.1872,              0.0010285,              0.0010285,              0.0010285
                     77,                 1.1497,                0.78977,                 1.1478,                0.85276,                0.80942,                0.84844,                 0.5214,                 1.4068,                0.97076,                 1.2349,              0.0010274,              0.0010274,              0.0010274
                     78,                 1.1789,                0.77004,                 1.1027,                0.88528,                0.86445,                0.86589,                0.50782,                 1.3536,                0.89319,                 1.2001,              0.0010263,              0.0010263,              0.0010263
                     79,                 1.1479,                0.75868,                 1.0892,                0.86627,                0.79783,                0.86648,                0.56439,                 1.2876,                0.81777,                 1.1756,              0.0010252,              0.0010252,              0.0010252
                     80,                 1.1692,                0.79853,                 1.1091,                0.90577,                0.80523,                0.90611,                0.56029,                 1.3667,                0.85576,                 1.1966,              0.0010241,              0.0010241,              0.0010241
                     81,                 1.1439,                0.78156,                 1.1064,                0.82544,                0.80985,                0.87404,                0.54164,                 1.2799,                0.99662,                 1.1268,               0.001023,               0.001023,               0.001023
                     82,                 1.1782,                0.83788,                 1.1749,                0.85217,                0.86968,                0.90769,                0.57049,                 1.2874,                0.72604,                 1.1545,              0.0010219,              0.0010219,              0.0010219
                     83,                 1.1253,                0.77463,                 1.1339,                0.94689,                0.73794,                0.88931,                0.56196,                 1.2378,                0.79519,                 1.1835,              0.0010208,              0.0010208,              0.0010208
                     84,                  1.123,                0.73322,                 1.0921,                0.93099,                0.82738,                0.88429,                0.56768,                 1.1952,                0.84693,                 1.1583,              0.0010197,              0.0010197,              0.0010197
                     85,                  1.087,                0.73579,                 1.1023,                0.84673,                0.83009,                0.88548,                0.55121,                 1.2952,                0.84387,                 1.1662,              0.0010186,              0.0010186,              0.0010186
                     86,                 1.0665,                0.70528,                 1.0725,                0.86158,                0.83631,                0.85792,                0.55288,                 1.3325,                0.78827,                 1.1513,              0.0010175,              0.0010175,              0.0010175
                     87,                 1.1076,                0.69458,                  1.096,                0.90186,                0.83368,                 0.8922,                0.55998,                 1.2593,                0.75568,                 1.1772,              0.0010164,              0.0010164,              0.0010164
                     88,                 1.1146,                0.72401,                 1.1014,                0.90249,                 0.8342,                0.87597,                0.55831,                  1.275,                0.72708,                 1.2027,              0.0010153,              0.0010153,              0.0010153
                     89,                 1.0864,                0.72362,                 1.1175,                0.91164,                0.81846,                0.88162,                 0.5404,                 1.2035,                0.76796,                 1.1558,              0.0010142,              0.0010142,              0.0010142
                     90,                 1.0577,                0.72678,                 1.0781,                0.90808,                0.79838,                0.87476,                0.56735,                 1.2416,                0.79659,                 1.1244,              0.0010131,              0.0010131,              0.0010131
                     91,                 1.1068,                0.75828,                 1.1204,                0.92382,                 0.8151,                0.90043,                0.55114,                 1.2123,                0.77924,                 1.1266,               0.001012,               0.001012,               0.001012
                     92,                 1.0861,                0.74753,                 1.1063,                 0.8671,                0.79846,                0.87166,                 0.5579,                 1.1358,                0.85181,                 1.0685,              0.0010109,              0.0010109,              0.0010109
                     93,                 1.0687,                0.72924,                 1.0863,                0.92758,                0.83829,                0.86981,                0.55276,                 1.1227,                0.69643,                 1.0948,              0.0010098,              0.0010098,              0.0010098
                     94,                 1.1014,                0.74366,                 1.1034,                0.92714,                0.90847,                0.93116,                0.58238,                 1.0964,                0.73392,                 1.0614,              0.0010087,              0.0010087,              0.0010087
