                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.3441,                 1.0396,                 1.1814,                 1.6495,                 1.3814,                 1.1518,                0.64519,                0.61956,                0.68885,                0.38595,                 1.3253,                 1.1104,                 1.1981,                 1.5537,                 1.4094,                 1.1495,               0.001001,               0.001001,               0.001001
                    103,                 1.3621,                 1.0326,                 1.2006,                 1.6446,                 1.4278,                 1.1755,                0.76652,                0.65904,                0.74298,                0.44567,                 1.2871,                 0.9676,                 1.1597,                 1.5565,                 1.2367,                 1.1263,             0.00099991,             0.00099991,             0.00099991
                    104,                  1.293,                0.93037,                 1.1713,                 1.5901,                 1.3024,                 1.1359,                0.72209,                 0.6255,                0.75575,                 0.4471,                 1.3566,                 1.0945,                 1.1641,                 1.5189,                 1.3625,                 1.0877,             0.00099881,             0.00099881,             0.00099881
                    105,                 1.3212,                 1.0229,                 1.1885,                 1.6461,                 1.3647,                 1.1656,                 0.6541,                0.75302,                0.78549,                0.42952,                 1.2908,                 1.0435,                 1.1778,                 1.4435,                 1.4315,                 1.0804,             0.00099771,             0.00099771,             0.00099771
                    106,                 1.3263,                0.95932,                 1.1607,                 1.6468,                 1.3022,                 1.1263,                0.84552,                0.61468,                 0.7749,                0.42917,                 1.3518,                 1.0351,                 1.1851,                 1.6698,                 1.3623,                 1.1041,             0.00099661,             0.00099661,             0.00099661
                    107,                 1.2629,                0.90565,                 1.1412,                 1.5719,                 1.2098,                  1.094,                0.81375,                 0.5327,                0.72647,                0.41316,                 1.3143,                 1.0466,                 1.1635,                 1.5389,                  1.476,                 1.0896,             0.00099551,             0.00099551,             0.00099551
                    108,                  1.269,                0.91952,                 1.1502,                 1.5696,                  1.234,                 1.1092,                0.74028,                0.65308,                 0.7336,                0.43734,                  1.261,                0.99739,                 1.1361,                  1.522,                 1.3283,                 1.0738,             0.00099441,             0.00099441,             0.00099441
                    109,                 1.2684,                 0.9129,                 1.1593,                 1.5578,                 1.2225,                 1.0992,                0.68026,                 0.6496,                0.71078,                0.43483,                 1.2703,                 1.0275,                 1.1753,                 1.5529,                 1.3715,                 1.0963,             0.00099331,             0.00099331,             0.00099331
                    110,                 1.2697,                0.88221,                 1.1374,                 1.5508,                 1.1848,                 1.0891,                0.64058,                0.69212,                0.72713,                0.41933,                 1.2778,                0.95231,                 1.1483,                 1.5327,                 1.2319,                 1.1044,             0.00099221,             0.00099221,             0.00099221
                    111,                 1.2208,                0.88716,                 1.1215,                 1.4832,                 1.2077,                 1.0956,                0.75527,                 0.6958,                0.75135,                 0.4589,                 1.2483,                0.90871,                 1.1103,                 1.5604,                 1.1275,                 1.0562,             0.00099111,             0.00099111,             0.00099111
                    112,                 1.2669,                0.95453,                 1.1173,                 1.5696,                 1.2919,                 1.0912,                0.73667,                0.66029,                 0.7612,                0.45776,                 1.3571,                 1.0207,                 1.1573,                 1.5959,                 1.2211,                 1.1216,             0.00099001,             0.00099001,             0.00099001
                    113,                 1.2374,                0.90279,                 1.1342,                 1.5463,                 1.1973,                 1.1063,                0.68346,                0.76151,                0.77957,                0.47392,                 1.2419,                0.93084,                  1.103,                 1.4417,                 1.0435,                 1.0609,             0.00098891,             0.00098891,             0.00098891
                    114,                 1.2348,                0.89608,                 1.1203,                 1.5742,                 1.1666,                 1.0825,                0.85219,                0.68499,                0.78989,                0.48814,                  1.228,                0.95061,                 1.1369,                 1.3447,                 1.1346,                 1.0276,             0.00098781,             0.00098781,             0.00098781
                    115,                 1.2296,                0.87165,                 1.1209,                 1.5498,                 1.1484,                 1.0929,                0.77699,                0.73355,                0.80561,                0.47279,                 1.3549,                 1.0206,                 1.1848,                 1.5609,                 1.0922,                 1.1207,             0.00098671,             0.00098671,             0.00098671
                    116,                 1.2437,                0.90035,                  1.126,                 1.5565,                 1.2013,                 1.1019,                0.79136,                0.69021,                0.76301,                 0.4443,                 1.3305,                 1.0834,                 1.1549,                  1.585,                 1.3907,                 1.1118,             0.00098561,             0.00098561,             0.00098561
                    117,                 1.2428,                0.88919,                 1.1008,                 1.6169,                 1.2123,                 1.0803,                0.76985,                0.62708,                0.75348,                0.44708,                 1.2667,                0.99607,                 1.1476,                 1.5212,                 1.3031,                 1.1064,             0.00098451,             0.00098451,             0.00098451
                    118,                 1.1697,                0.83053,                 1.1001,                 1.4961,                 1.0853,                 1.0894,                0.75871,                0.66771,                0.72662,                0.45643,                 1.3653,                 1.0331,                 1.1849,                  1.632,                  1.345,                 1.1139,             0.00098341,             0.00098341,             0.00098341
                    119,                 1.2372,                0.89956,                 1.1719,                 1.5537,                 1.1983,                 1.1511,                0.67958,                0.69596,                0.71903,                 0.4395,                 1.2171,                 1.0703,                 1.1424,                 1.5862,                 1.3471,                 1.1035,             0.00098231,             0.00098231,             0.00098231
                    120,                 1.2048,                0.86496,                 1.1126,                 1.5592,                  1.193,                 1.0861,                0.79265,                  0.708,                0.77828,                0.44861,                  1.367,                 1.0299,                 1.1626,                 1.5652,                 1.2306,                 1.0935,             0.00098121,             0.00098121,             0.00098121
                    121,                 1.2506,                0.87121,                 1.1037,                 1.5445,                 1.1611,                 1.0727,                0.84627,                0.71621,                0.81194,                0.46822,                 1.2167,                0.97105,                 1.1195,                 1.4314,                 1.1183,                  1.045,             0.00098011,             0.00098011,             0.00098011
                    122,                 1.2263,                0.86383,                 1.1426,                 1.4789,                 1.1366,                 1.0969,                0.72343,                0.78897,                0.82065,                0.48692,                 1.2194,                0.96246,                 1.1011,                 1.5384,                 1.0763,                 1.0595,             0.00097901,             0.00097901,             0.00097901
                    123,                  1.252,                0.88403,                 1.1433,                 1.5003,                 1.1535,                 1.0996,                0.70154,                0.74008,                0.78884,                0.47558,                 1.2559,                0.87607,                 1.0963,                 1.4696,                 1.0258,                 1.0428,             0.00097791,             0.00097791,             0.00097791
                    124,                 1.2107,                0.85267,                 1.1083,                 1.5164,                 1.0959,                 1.0656,                0.71225,                0.75694,                0.79538,                0.50095,                 1.2325,                0.91349,                 1.1156,                 1.4863,                0.99869,                 1.0515,             0.00097681,             0.00097681,             0.00097681
                    125,                 1.2334,                0.88402,                 1.1354,                 1.5335,                 1.1719,                 1.1022,                0.75369,                0.71098,                0.79474,                0.46159,                 1.2861,                 1.0185,                 1.1179,                 1.5318,                 1.0191,                 1.0768,             0.00097571,             0.00097571,             0.00097571
                    126,                 1.2297,                0.87552,                 1.1267,                 1.5499,                 1.1604,                 1.1013,                0.72809,                0.76688,                0.77842,                0.48551,                 1.2479,                0.91452,                 1.1025,                 1.5586,                 1.0487,                 1.0562,             0.00097461,             0.00097461,             0.00097461
                    127,                 1.2524,                0.88857,                  1.125,                 1.5365,                 1.1841,                 1.0803,                0.76347,                0.70403,                0.79001,                0.47803,                 1.2935,                  1.013,                 1.1408,                 1.5413,                  1.237,                 1.0752,             0.00097351,             0.00097351,             0.00097351
                    128,                 1.2561,                0.86013,                 1.1416,                 1.5477,                 1.1651,                 1.0965,                0.72868,                0.63771,                  0.761,                0.46584,                 1.2163,                 1.1008,                 1.1041,                 1.4988,                 1.1396,                 1.0474,             0.00097241,             0.00097241,             0.00097241
                    129,                 1.1826,                0.85411,                 1.1037,                 1.4952,                 1.1656,                 1.0699,                0.83614,                0.62473,                0.77901,                0.48908,                 1.2745,                 1.0997,                 1.1076,                 1.4944,                 1.0765,                 1.0603,             0.00097131,             0.00097131,             0.00097131
                    130,                 1.2866,                0.89796,                 1.1461,                 1.5923,                 1.2515,                 1.1158,                0.73163,                0.75233,                0.75363,                0.47464,                 1.1761,                0.85918,                 1.0831,                 1.4409,                 1.0249,                 1.0428,             0.00097021,             0.00097021,             0.00097021
                    131,                 1.1459,                0.81583,                 1.0945,                  1.447,                  1.085,                 1.0696,                0.76407,                0.69781,                0.75759,                0.46428,                 1.1719,                 1.1365,                 1.0834,                 1.3993,                 1.2477,                 1.0503,             0.00096911,             0.00096911,             0.00096911
                    132,                  1.245,                0.83312,                 1.1296,                 1.4814,                 1.0734,                 1.0759,                0.71312,                0.65107,                0.76156,                 0.4452,                 1.2358,                0.94394,                 1.1252,                 1.5527,                 1.1265,                 1.0659,             0.00096801,             0.00096801,             0.00096801
                    133,                 1.2551,                0.84727,                 1.1179,                 1.5445,                 1.1436,                 1.0876,                0.65941,                0.77564,                0.75676,                0.47759,                 1.2193,                0.90183,                  1.073,                 1.4795,                 1.0779,                 1.0462,             0.00096691,             0.00096691,             0.00096691
                    134,                 1.1792,                0.79429,                 1.1075,                 1.5128,                 1.0533,                 1.0943,                0.77897,                 0.6977,                0.78593,                0.48393,                 1.2927,                0.95138,                 1.1258,                 1.6327,                 1.0284,                 1.0878,             0.00096581,             0.00096581,             0.00096581
                    135,                 1.1909,                0.84014,                 1.1165,                 1.4977,                 1.1446,                 1.0909,                0.73195,                0.75512,                0.77667,                0.47654,                 1.2615,                0.88141,                 1.0937,                  1.488,                 1.0364,                 1.0432,             0.00096471,             0.00096471,             0.00096471
                    136,                 1.2022,                0.83305,                 1.0993,                 1.5331,                 1.0986,                 1.0853,                0.73189,                0.68979,                0.74622,                0.43787,                 1.2941,                 1.0942,                 1.1421,                 1.3988,                  1.181,                 1.0465,             0.00096361,             0.00096361,             0.00096361
                    137,                 1.1827,                 0.8245,                 1.1009,                 1.4882,                 1.1094,                 1.0759,                0.74498,                0.71808,                0.75605,                0.43159,                  1.293,                0.93597,                 1.1602,                 1.5669,                 1.1239,                 1.0573,             0.00096251,             0.00096251,             0.00096251
                    138,                 1.1999,                 0.8481,                 1.1284,                 1.4937,                 1.1191,                  1.083,                0.74689,                0.72277,                 0.7956,                0.50903,                 1.1774,                0.92395,                 1.0766,                  1.238,                 1.0059,                 1.0034,             0.00096141,             0.00096141,             0.00096141
                    139,                  1.173,                0.82623,                 1.1218,                 1.4824,                 1.1166,                 1.0971,                0.76512,                0.70774,                0.80973,                0.47922,                 1.2508,                0.94387,                 1.1307,                 1.4009,                 1.0507,                 1.0659,             0.00096032,             0.00096032,             0.00096032
                    140,                 1.1937,                0.85334,                  1.126,                 1.4631,                 1.1068,                 1.0822,                0.78135,                0.76224,                0.81145,                0.50577,                 1.1518,                0.86214,                 1.0664,                  1.413,                0.96653,                 1.0203,             0.00095922,             0.00095922,             0.00095922
                    141,                 1.1597,                0.84644,                  1.087,                 1.4472,                 1.1327,                 1.0463,                0.72603,                0.74688,                0.80914,                  0.492,                 1.1637,                0.89515,                 1.0901,                 1.4717,                 1.0403,                 1.0548,             0.00095812,             0.00095812,             0.00095812
                    142,                 1.1652,                0.81607,                 1.0899,                 1.4399,                 1.0709,                 1.0751,                0.75174,                0.65384,                0.75745,                0.46312,                 1.1558,                0.99939,                 1.0761,                 1.4988,                 1.2659,                 1.0375,             0.00095702,             0.00095702,             0.00095702
                    143,                 1.0969,                0.80711,                 1.0584,                 1.4278,                 1.1065,                 1.0456,                0.73714,                0.66475,                0.74508,                0.44508,                  1.231,                0.90892,                 1.0889,                 1.4843,                 1.1769,                 1.0479,             0.00095592,             0.00095592,             0.00095592
                    144,                  1.216,                0.87255,                 1.1325,                 1.5349,                 1.1663,                 1.1046,                0.75991,                0.74283,                0.77938,                0.46847,                 1.2276,                0.92509,                 1.0832,                 1.3589,                 1.1985,                 1.0366,             0.00095482,             0.00095482,             0.00095482
                    145,                 1.1771,                0.78883,                 1.1057,                 1.4449,                 1.0352,                 1.0691,                0.69271,                0.75378,                0.78354,                0.49421,                 1.0843,                0.86885,                 1.0615,                 1.2624,                0.93653,                 1.0458,             0.00095372,             0.00095372,             0.00095372
                    146,                 1.1638,                0.81068,                 1.0712,                 1.4736,                 1.0478,                 1.0575,                0.77272,                0.71553,                0.78595,                0.48473,                 1.2796,                0.92429,                 1.1107,                 1.4487,                 1.0056,                 1.0785,             0.00095262,             0.00095262,             0.00095262
                    147,                  1.172,                0.79453,                 1.0768,                 1.4824,                  1.046,                 1.0501,                0.74343,                0.67034,                0.75454,                0.48947,                 1.2483,                0.93937,                  1.098,                 1.5194,                0.96435,                 1.0556,             0.00095152,             0.00095152,             0.00095152
                    148,                 1.1588,                0.80159,                 1.1161,                 1.4489,                 1.0027,                  1.086,                0.82929,                0.74102,                0.81737,                0.50384,                  1.124,                0.85874,                 1.0556,                 1.3784,                0.99706,                 1.0362,             0.00095042,             0.00095042,             0.00095042
                    149,                 1.1153,                0.77939,                 1.0842,                 1.4492,                 1.0425,                 1.0535,                0.77595,                0.72399,                0.81985,                0.50575,                 1.1647,                0.89245,                 1.0803,                 1.4949,                 1.0028,                 1.0717,             0.00094932,             0.00094932,             0.00094932
                    150,                 1.1536,                0.80147,                 1.0903,                 1.4894,                 1.0856,                 1.0803,                0.79238,                0.72982,                0.79483,                0.49596,                 1.2118,                0.89321,                 1.0813,                 1.4789,                0.99193,                  1.051,             0.00094822,             0.00094822,             0.00094822
                    151,                 1.1752,                0.81264,                 1.1034,                 1.4661,                   1.05,                 1.0807,                0.75256,                0.70627,                0.81283,                 0.5267,                 1.1134,                0.88322,                 1.0381,                 1.2799,                 1.0006,                 1.0148,             0.00094712,             0.00094712,             0.00094712
                    152,                 1.1441,                0.77962,                 1.0913,                 1.4215,                 1.0405,                 1.0548,                0.78322,                0.76275,                0.81892,                0.51871,                 1.1988,                0.88077,                 1.0653,                 1.3787,                  1.009,                 1.0371,             0.00094602,             0.00094602,             0.00094602
                    153,                 1.1727,                0.81558,                 1.1159,                  1.488,                 1.0783,                 1.0892,                0.82592,                0.73431,                0.80251,                0.50751,                  1.207,                0.88533,                 1.0623,                  1.461,                0.99324,                 1.0422,             0.00094492,             0.00094492,             0.00094492
                    154,                 1.1714,                0.81715,                 1.0844,                 1.4767,                 1.0687,                 1.0628,                0.81041,                0.73341,                0.79631,                0.47665,                 1.1988,                  1.006,                 1.0584,                  1.399,                 1.1426,                 1.0406,             0.00094382,             0.00094382,             0.00094382
                    155,                 1.1421,                 0.7822,                 1.0895,                 1.4345,                 1.0544,                 1.0666,                0.82674,                0.73714,                0.83084,                0.50023,                 1.1939,                  1.012,                  1.091,                 1.4511,                 1.0784,                 1.0779,             0.00094272,             0.00094272,             0.00094272
                    156,                 1.1539,                0.79727,                 1.0804,                 1.4342,                 1.0198,                 1.0629,                0.63142,                0.83637,                0.81099,                0.47848,                 1.1801,                 1.1039,                 1.0978,                  1.405,                 1.2476,                  1.077,             0.00094162,             0.00094162,             0.00094162
                    157,                 1.1391,                0.76432,                 1.0723,                 1.4297,                 1.0136,                 1.0592,                0.83136,                 0.6959,                 0.8118,                0.49411,                 1.1784,                0.91787,                 1.0946,                 1.4005,                 1.0328,                 1.0599,             0.00094052,             0.00094052,             0.00094052
                    158,                  1.172,                0.78771,                 1.0804,                 1.4547,                 1.0142,                  1.046,                0.79171,                0.71966,                0.79725,                0.51134,                 1.1793,                0.94881,                 1.0665,                 1.3674,                0.95542,                 1.0424,             0.00093942,             0.00093942,             0.00093942
                    159,                 1.1382,                0.79658,                 1.0855,                  1.415,                0.99428,                 1.0486,                0.71419,                0.80289,                0.81376,                0.52156,                 1.2109,                0.97237,                 1.0725,                 1.4277,                  1.069,                 1.0633,             0.00093832,             0.00093832,             0.00093832
                    160,                 1.1262,                0.79196,                 1.0912,                 1.4304,                 1.0508,                 1.0634,                0.71146,                0.80963,                0.80402,                0.50659,                 1.1567,                0.86455,                 1.0773,                 1.4868,                 1.0389,                 1.0657,             0.00093722,             0.00093722,             0.00093722
                    161,                 1.0979,                 0.7402,                 1.0612,                 1.3792,                0.97302,                 1.0386,                0.69946,                0.79449,                0.83101,                0.52613,                 1.2209,                0.87352,                 1.0836,                 1.4657,                  1.014,                 1.0777,             0.00093612,             0.00093612,             0.00093612
                    162,                 1.1445,                 0.7843,                 1.1224,                 1.4301,                 1.0576,                 1.0946,                0.81832,                0.69418,                0.79212,                0.50783,                 1.1486,                0.88902,                 1.0548,                 1.4147,                0.99764,                 1.0506,             0.00093502,             0.00093502,             0.00093502
                    163,                 1.1281,                0.76227,                 1.0677,                 1.4481,                 1.0008,                 1.0532,                0.80092,                0.74331,                0.77555,                0.51894,                 1.2375,                0.91337,                  1.102,                 1.4622,                 1.0818,                 1.0645,             0.00093392,             0.00093392,             0.00093392
                    164,                 1.1284,                0.76004,                 1.0689,                  1.476,                 1.0037,                 1.0479,                0.75104,                0.71165,                0.77835,                0.52338,                 1.0867,                 0.9717,                 1.0652,                 1.4244,                  1.136,                 1.0432,             0.00093282,             0.00093282,             0.00093282
                    165,                 1.1727,                 0.8086,                 1.0912,                 1.4515,                 1.0531,                  1.058,                0.77688,                0.74966,                0.78852,                0.52359,                 1.2039,                0.87114,                 1.0978,                 1.4711,                 0.9784,                 1.0653,             0.00093172,             0.00093172,             0.00093172
                    166,                 1.1025,                0.77138,                 1.0797,                 1.4037,                 1.0381,                 1.0586,                0.76419,                0.78462,                0.82248,                0.54702,                 1.2674,                0.94143,                 1.1022,                  1.399,                0.88309,                 1.0374,             0.00093062,             0.00093062,             0.00093062
                    167,                 1.1375,                0.74815,                 1.0626,                 1.4483,                 0.9345,                 1.0351,                 0.7913,                0.77925,                0.79972,                0.49844,                 1.3414,                0.87506,                 1.1372,                 1.4195,                 1.1223,                 1.0579,             0.00092952,             0.00092952,             0.00092952
                    168,                 1.1763,                0.79223,                 1.0898,                 1.4782,                 1.0505,                 1.0585,                0.77828,                0.75946,                0.81851,                 0.5279,                  1.248,                0.89787,                 1.0842,                 1.3933,                 1.0687,                 1.0271,             0.00092842,             0.00092842,             0.00092842
                    169,                 1.1045,                0.72208,                 1.0709,                 1.3893,                0.96194,                 1.0432,                0.76446,                0.78767,                 0.8163,                0.50581,                 1.2362,                0.84297,                 1.0888,                 1.4402,                 1.0449,                  1.045,             0.00092732,             0.00092732,             0.00092732
                    170,                 1.0997,                0.73873,                 1.0743,                 1.3693,                0.98598,                 1.0603,                0.84959,                0.81149,                0.86348,                0.54144,                 1.1941,                0.82492,                 1.0985,                 1.3974,                0.97172,                 1.0314,             0.00092622,             0.00092622,             0.00092622
                    171,                 1.1239,                0.77452,                 1.0644,                 1.3947,                 1.0086,                 1.0395,                0.79549,                  0.786,                0.82065,                0.55056,                 1.1686,                0.84907,                 1.0614,                 1.4689,                0.92867,                 1.0227,             0.00092512,             0.00092512,             0.00092512
                    172,                 1.1001,                0.75105,                  1.062,                 1.4008,                0.94825,                 1.0395,                0.78678,                0.78282,                0.82749,                0.53602,                 1.1822,                 0.8089,                 1.0646,                 1.4349,                0.90216,                 1.0071,             0.00092402,             0.00092402,             0.00092402
                    173,                 1.1402,                0.77487,                  1.102,                 1.4289,                  1.021,                 1.0768,                0.80154,                0.77016,                0.83579,                0.55627,                 1.0869,                0.81495,                 1.0333,                 1.2373,                0.85125,                 0.9861,             0.00092292,             0.00092292,             0.00092292
                    174,                 1.0961,                0.76453,                 1.0691,                 1.3928,                0.98685,                 1.0388,                0.74596,                0.70733,                0.80471,                0.51518,                 1.0588,                0.80502,                 1.0706,                 1.3197,                0.95446,                 1.0307,             0.00092182,             0.00092182,             0.00092182
                    175,                 1.1267,                0.74018,                 1.0716,                 1.4723,                0.99302,                 1.0645,                0.80973,                0.75382,                0.83843,                0.54508,                  1.076,                0.74271,                 1.0387,                 1.3721,                0.84303,                   1.02,             0.00092072,             0.00092072,             0.00092072
                    176,                 1.0918,                0.75444,                 1.0678,                 1.3846,                0.97871,                 1.0492,                0.79501,                0.78563,                0.83144,                0.55801,                 1.0653,                0.76455,                 1.0198,                  1.361,                0.80099,                0.99541,             0.00091962,             0.00091962,             0.00091962
                    177,                 1.0681,                0.73829,                 1.0551,                  1.371,                 0.9517,                 1.0427,                0.83911,                0.77269,                0.84897,                0.56263,                 1.1745,                0.75379,                 1.0481,                 1.3746,                0.81223,                  1.002,             0.00091852,             0.00091852,             0.00091852
                    178,                 1.0878,                0.72721,                 1.0426,                 1.3895,                0.97174,                 1.0176,                0.87162,                 0.7586,                0.84399,                0.56096,                 1.1807,                0.83021,                 1.0451,                   1.37,                0.86601,                0.99255,             0.00091742,             0.00091742,             0.00091742
                    179,                 1.0991,                0.74287,                 1.0584,                  1.396,                0.98216,                 1.0423,                0.79462,                0.70825,                0.80535,                0.51702,                 1.2126,                0.88394,                 1.1102,                 1.4303,                0.89989,                 1.0562,             0.00091632,             0.00091632,             0.00091632
                    180,                 1.1364,                0.77347,                 1.0646,                 1.4299,                0.97336,                 1.0313,                 0.7694,                0.82096,                0.80364,                0.51558,                 1.2498,                 0.9373,                 1.1082,                 1.3846,                0.88989,                 1.0419,             0.00091522,             0.00091522,             0.00091522
                    181,                 1.1262,                0.74298,                 1.0835,                 1.4003,                0.94384,                 1.0501,                0.82469,                0.76618,                0.84944,                0.54909,                 1.2375,                0.90246,                 1.0979,                 1.4232,                0.85966,                 1.0415,             0.00091412,             0.00091412,             0.00091412
                    182,                 1.0997,                0.77733,                 1.0949,                 1.3993,                 0.9861,                 1.0754,                 0.8924,                 0.6813,                0.83891,                0.53117,                 1.2864,                0.99477,                 1.0917,                 1.4111,                0.98708,                 1.0414,             0.00091302,             0.00091302,             0.00091302
                    183,                 1.0645,                0.71732,                 1.0499,                 1.3561,                 0.9018,                 1.0303,                0.77504,                0.81969,                0.81709,                0.50546,                 1.2028,                 0.7857,                 1.0817,                 1.3966,                0.93384,                  1.039,             0.00091192,             0.00091192,             0.00091192
                    184,                 1.0987,                0.71982,                 1.0699,                 1.3878,                0.90068,                 1.0455,                0.76299,                0.81608,                0.82971,                0.50294,                 1.1779,                0.79668,                 1.0718,                 1.3761,                0.86804,                 1.0282,             0.00091082,             0.00091082,             0.00091082
                    185,                 1.0676,                0.70872,                 1.0441,                 1.3475,                0.91158,                 1.0244,                0.83667,                0.72653,                0.84278,                0.54011,                 1.1919,                0.79352,                 1.0616,                 1.3848,                0.89171,                 1.0211,             0.00090972,             0.00090972,             0.00090972
                    186,                 1.0967,                0.71797,                 1.0205,                 1.4264,                0.92876,                0.99978,                0.77875,                0.78823,                  0.819,                0.51812,                 1.2164,                0.86848,                 1.0791,                 1.4378,                 1.0518,                 1.0303,             0.00090862,             0.00090862,             0.00090862
                    187,                 1.0791,                0.72919,                 1.0478,                 1.4137,                0.93505,                 1.0386,                0.86528,                0.70213,                0.81821,                0.52527,                 1.1649,                0.80118,                 1.0877,                 1.4192,                 1.0009,                  1.022,             0.00090752,             0.00090752,             0.00090752
                    188,                  1.084,                0.75207,                  1.043,                 1.3766,                  1.011,                 1.0364,                0.82867,                0.74711,                0.84862,                0.51874,                 1.2183,                0.79857,                 1.0858,                 1.3375,                0.91888,                 1.0217,             0.00090642,             0.00090642,             0.00090642
                    189,                 1.0877,                0.72228,                 1.0305,                 1.3999,                0.95092,                 1.0243,                0.83135,                0.75843,                0.84009,                 0.5045,                 1.2759,                0.84175,                 1.1121,                 1.4413,                0.90111,                  1.057,             0.00090532,             0.00090532,             0.00090532
                    190,                 1.0363,                0.70434,                 1.0076,                  1.344,                0.93009,                0.99998,                0.80436,                0.78829,                 0.8422,                0.52187,                 1.1226,                0.79198,                 1.0501,                 1.3777,                 0.9221,                 1.0164,             0.00090422,             0.00090422,             0.00090422
                    191,                 1.0735,                0.73723,                 1.0718,                 1.3556,                 1.0142,                 1.0495,                0.73926,                0.75767,                0.82719,                0.53819,                  1.114,                0.85154,                 1.0489,                 1.2993,                0.97142,                 1.0328,             0.00090312,             0.00090312,             0.00090312
                    192,                 1.0578,                0.69768,                 1.0377,                 1.3545,                0.91682,                 1.0249,                0.75542,                0.76458,                0.81344,                0.50191,                 1.1546,                0.82336,                 1.0716,                 1.4098,                0.98516,                 1.0367,             0.00090202,             0.00090202,             0.00090202
                    193,                 1.0908,                0.71069,                 1.0789,                 1.3716,                0.90721,                 1.0584,                0.77041,                 0.7533,                0.83411,                0.50572,                 1.2563,                0.83337,                 1.0866,                 1.4231,                0.96741,                 1.0338,             0.00090092,             0.00090092,             0.00090092
                    194,                 1.0452,                0.70103,                 1.0224,                 1.3952,                 0.9138,                   1.02,                0.74747,                0.79274,                0.82908,                 0.5378,                 1.1888,                0.76125,                 1.0546,                 1.4122,                0.96605,                  1.029,             0.00089982,             0.00089982,             0.00089982
                    195,                 1.0605,                0.72353,                 1.0415,                 1.3598,                0.93291,                 1.0333,                 0.7311,                0.76837,                0.82412,                0.51572,                  1.121,                0.84792,                 1.0148,                 1.3789,                0.98971,                0.99642,             0.00089872,             0.00089872,             0.00089872
