                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.0085,                 2.1821,                 1.7061,                 2.2022,                 3.2602,                 1.5476,                0.40173,                0.30193,                0.25333,                0.10633,                 2.0549,                 2.4192,                 1.6105,                 2.0102,                 3.4874,                 1.4833,              0.0010868,              0.0010868,              0.0010868
                     25,                 1.9671,                 2.1553,                 1.6381,                 2.1745,                 3.1326,                 1.5056,                0.39664,                0.36591,                0.31331,                0.13365,                 1.9414,                 2.1989,                 1.6205,                 1.7794,                  3.431,                 1.3731,              0.0010857,              0.0010857,              0.0010857
                     26,                 1.9464,                 2.0694,                 1.5958,                 2.1902,                 3.1151,                 1.4466,                0.43762,                0.35262,                0.35785,                0.14668,                 1.9069,                 2.1811,                 1.6033,                 1.8493,                 3.4239,                 1.3607,              0.0010846,              0.0010846,              0.0010846
                     27,                 1.9586,                  2.053,                  1.652,                 2.1445,                 2.9685,                 1.4858,                0.49661,                0.44899,                0.41941,                0.18078,                 1.8795,                  2.074,                 1.5766,                   1.91,                  3.007,                 1.3612,              0.0010835,              0.0010835,              0.0010835
                     28,                 1.8289,                 1.9512,                 1.5604,                 2.0559,                  2.851,                 1.4013,                 0.3796,                0.44277,                0.38507,                 0.1819,                 1.7276,                 2.0416,                 1.5098,                 2.0184,                 2.9613,                 1.3557,              0.0010824,              0.0010824,              0.0010824
                     29,                 1.8919,                 1.9475,                 1.5858,                 2.0705,                  2.869,                 1.4195,                0.34683,                 0.3837,                0.31153,                 0.1589,                 1.9305,                 1.9823,                 1.5635,                 1.9902,                 2.8442,                 1.3671,              0.0010813,              0.0010813,              0.0010813
                     30,                 1.8607,                  1.851,                 1.5222,                 2.1772,                 2.7112,                 1.4309,                0.42932,                0.36663,                0.34935,                0.16158,                 1.8252,                 1.9781,                 1.5891,                 2.0871,                 2.9579,                 1.3654,              0.0010802,              0.0010802,              0.0010802
                     31,                 1.8366,                 1.8682,                 1.5488,                 2.0743,                 2.7231,                 1.4083,                0.41838,                0.54216,                0.45847,                0.18071,                   1.87,                 2.0275,                 1.5296,                 2.0565,                 3.0488,                 1.3544,              0.0010791,              0.0010791,              0.0010791
                     32,                 1.8339,                 1.8363,                 1.5043,                 2.1553,                 2.6718,                 1.3812,                0.39548,                0.37436,                0.35736,                0.16218,                    1.9,                 1.9275,                 1.5369,                 1.9612,                 2.8672,                 1.3163,               0.001078,               0.001078,               0.001078
                     33,                 1.7705,                 1.7205,                 1.4936,                  2.088,                 2.5784,                 1.4091,                0.52212,                0.40009,                0.42737,                0.19824,                 1.8573,                 1.8851,                  1.552,                 2.0196,                 2.7569,                   1.33,              0.0010769,              0.0010769,              0.0010769
                     34,                 1.7427,                 1.7826,                  1.475,                 2.0036,                 2.5842,                 1.3666,                0.52061,                0.42044,                0.47722,                0.22216,                 1.8046,                 1.8476,                 1.5105,                 1.9354,                 2.6335,                 1.2598,              0.0010758,              0.0010758,              0.0010758
                     35,                 1.7994,                  1.689,                 1.4548,                 2.0332,                 2.4382,                 1.3393,                0.40392,                 0.3509,                0.39163,                0.19586,                 1.7442,                 1.8381,                 1.4706,                 2.0267,                 2.6131,                 1.3404,              0.0010747,              0.0010747,              0.0010747
                     36,                 1.7639,                 1.7626,                 1.4801,                 2.0309,                 2.5792,                 1.4034,                0.38686,                0.49859,                0.46719,                 0.2074,                 1.6747,                 2.0415,                 1.4215,                 1.8785,                  2.849,                 1.2614,              0.0010736,              0.0010736,              0.0010736
                     37,                 1.7244,                  1.655,                 1.4352,                 2.0077,                 2.3499,                 1.3369,                0.51446,                 0.5021,                0.49913,                0.25518,                 1.5376,                 1.7352,                 1.4297,                 1.8328,                 2.3992,                 1.2868,              0.0010725,              0.0010725,              0.0010725
