               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042944,            0.010128,            0.015113,             0.71465,             0.87165,             0.84853,             0.37491,            0.038437,           0.0076471,            0.010456,           0.0096535,           0.0096535,           0.0096535
                  37,            0.042352,            0.011169,             0.01366,             0.76134,             0.79631,             0.81967,             0.37722,            0.046382,           0.0075888,           0.0093708,           0.0096436,           0.0096436,           0.0096436
                  38,            0.043958,           0.0094646,            0.012521,             0.89858,             0.82157,             0.84739,             0.44721,            0.042716,           0.0077008,           0.0096359,           0.0096337,           0.0096337,           0.0096337
                  39,             0.04073,            0.010485,            0.011595,             0.85722,             0.83141,             0.86188,             0.34832,            0.046059,           0.0076147,           0.0083199,           0.0096238,           0.0096238,           0.0096238
                  40,            0.044554,            0.010344,            0.010218,             0.90778,             0.85446,             0.89612,             0.45845,            0.044261,           0.0074445,           0.0076962,           0.0096139,           0.0096139,           0.0096139
                  41,            0.043321,            0.010692,           0.0089898,             0.88353,             0.77839,             0.85083,             0.39662,            0.046231,           0.0074451,           0.0074968,            0.009604,            0.009604,            0.009604
                  42,            0.041335,           0.0098849,           0.0094525,             0.93137,             0.86501,             0.91386,             0.40729,            0.046113,           0.0075153,           0.0078621,           0.0095941,           0.0095941,           0.0095941
                  43,            0.042287,            0.011044,           0.0083663,              0.8402,              0.8136,             0.83007,             0.37196,            0.040459,           0.0076019,           0.0081959,           0.0095842,           0.0095842,           0.0095842
                  44,            0.041648,            0.010233,           0.0083203,             0.97661,             0.85073,             0.91828,             0.50369,            0.040562,           0.0074475,           0.0062733,           0.0095743,           0.0095743,           0.0095743
                  45,            0.040884,            0.010206,           0.0071362,             0.83434,              0.8281,             0.82809,             0.35563,            0.041509,           0.0077252,           0.0068734,           0.0095644,           0.0095644,           0.0095644
                  46,            0.041185,            0.010067,           0.0069965,             0.93024,             0.80825,             0.89886,             0.49325,            0.038499,           0.0077893,            0.010365,           0.0095545,           0.0095545,           0.0095545
                  47,            0.041076,           0.0096947,           0.0084914,             0.87119,             0.82514,             0.87156,             0.47427,            0.040227,           0.0073004,             0.00635,           0.0095446,           0.0095446,           0.0095446
                  48,            0.040644,           0.0095052,           0.0074333,             0.90376,             0.79552,             0.87398,             0.49033,            0.039837,           0.0073489,           0.0054605,           0.0095347,           0.0095347,           0.0095347
                  49,            0.039125,           0.0099646,            0.006811,             0.89893,             0.83832,             0.89377,              0.5106,            0.035893,           0.0072003,           0.0051651,           0.0095248,           0.0095248,           0.0095248
                  50,            0.039275,            0.010057,           0.0061861,             0.87698,             0.81052,             0.86611,              0.4223,             0.04129,           0.0070837,           0.0050631,           0.0095149,           0.0095149,           0.0095149
                  51,            0.041063,             0.01038,           0.0062342,             0.92205,             0.84749,             0.90748,             0.45052,            0.038338,           0.0069855,            0.004899,            0.009505,            0.009505,            0.009505
                  52,            0.039706,           0.0090964,           0.0063169,             0.87658,              0.9155,             0.93328,             0.51784,            0.036616,           0.0068185,           0.0046222,           0.0094951,           0.0094951,           0.0094951
                  53,            0.038893,           0.0093476,           0.0054171,             0.93351,             0.86023,             0.92661,             0.52321,            0.039441,           0.0072241,           0.0045524,           0.0094852,           0.0094852,           0.0094852
                  54,            0.039818,           0.0092758,           0.0061986,             0.81739,             0.90405,             0.90928,             0.42056,            0.041127,           0.0069861,           0.0053692,           0.0094753,           0.0094753,           0.0094753
                  55,            0.038765,           0.0096898,           0.0062581,             0.93757,             0.81759,             0.89425,             0.41993,            0.041089,           0.0070374,           0.0043397,           0.0094654,           0.0094654,           0.0094654
                  56,            0.040155,           0.0092903,           0.0074552,             0.91391,             0.86163,             0.91242,             0.46204,            0.033639,           0.0069461,           0.0046353,           0.0094555,           0.0094555,           0.0094555
                  57,            0.037757,           0.0099837,           0.0060236,             0.78988,             0.89129,             0.89617,             0.46707,            0.038493,           0.0070898,           0.0067048,           0.0094456,           0.0094456,           0.0094456
                  58,            0.039424,            0.010251,           0.0056808,             0.89824,             0.89751,             0.91301,             0.47303,            0.037963,           0.0071045,           0.0043225,           0.0094357,           0.0094357,           0.0094357
                  59,            0.038765,           0.0097351,           0.0052813,             0.95941,              0.9078,             0.92053,              0.4532,            0.038494,           0.0067496,           0.0039496,           0.0094258,           0.0094258,           0.0094258
                  60,            0.038556,           0.0093857,           0.0054461,             0.89342,             0.90808,              0.9079,             0.47695,            0.037283,           0.0071805,           0.0042851,           0.0094159,           0.0094159,           0.0094159
                  61,            0.036901,           0.0085065,           0.0048695,             0.88933,             0.89918,             0.90747,             0.43429,            0.037234,           0.0069141,           0.0036705,            0.009406,            0.009406,            0.009406
                  62,            0.038157,           0.0095791,           0.0055277,             0.94925,             0.83628,             0.92484,             0.50672,            0.040589,           0.0068134,           0.0039973,           0.0093961,           0.0093961,           0.0093961
                  63,            0.037744,           0.0094838,           0.0054341,             0.91597,             0.84839,             0.90004,              0.4171,            0.041227,           0.0069931,           0.0051706,           0.0093862,           0.0093862,           0.0093862
                  64,            0.036915,           0.0097089,           0.0064044,             0.93315,             0.84831,             0.92808,             0.46858,            0.040612,           0.0068158,           0.0042064,           0.0093763,           0.0093763,           0.0093763
                  65,            0.037461,            0.009286,            0.005587,             0.88211,             0.85274,             0.90079,             0.53215,             0.03513,           0.0070407,           0.0041986,           0.0093664,           0.0093664,           0.0093664
                  66,            0.036711,           0.0093181,            0.005209,             0.92115,             0.89242,             0.94411,              0.4772,            0.035825,           0.0067911,           0.0040655,           0.0093565,           0.0093565,           0.0093565
